ALLOT_NAME,ALLOT_NO,BLMDATA,GIS_ACRES,ADMIN_ST,ADM_OFC_CD,ADM_UNIT_C,ST_ALLOT,GlobalID,SHAPE_Leng,SHAPE_Area,FID,OBJECTID
Lierman Wegener-Berg,4011,1,1966.257378,ID,T02000,IDT02000,ID04011,{F90B7F1B-0562-4612-A0C3-E27E6D900819},13893.49896,7957192.903,499,279206
Lanting-Berger,4012,1,3207.105506,ID,T02000,IDT02000,ID04012,{C593F96B-471E-4386-916E-7CE052C13D0F},22574.22367,12978747.06,500,279207
Martens Bros.-Berger,4013,1,1141.822584,ID,T02000,IDT02000,ID04013,{4AA319B1-64A8-4D0C-8449-1EE05DF04162},15479.26795,4620810.41,501,279208
Noh-Berger,4014,1,5119.228198,ID,T02000,IDT02000,ID04014,{F5C713B8-E13F-4D90-A329-2AD61381AB52},22581.15856,20716863.79,502,279209
Parrott-Berger,4015,1,1466.591806,ID,T02000,IDT02000,ID04015,{E497BE5B-B271-4AF2-A80F-1E3FB4753937},15150.07403,5935110.041,503,279210
Pvga-Berger,4016,1,7411.220943,ID,T02000,IDT02000,ID04016,{E0850191-1CEF-48DB-9F71-633BFA4B9E44},28181.34789,29992266.2,504,279211
Berger-Schnitker,4017,1,400.3857117,ID,T02000,IDT02000,ID04017,{C4F6BAB1-5FC2-458B-A76F-E4585D23D3A6},7239.659505,1620309.924,505,279212
Smith-Berger,4018,1,318.5378803,ID,T02000,IDT02000,ID04018,{204DB75A-2C7C-4EFC-A393-60536EB70144},4815.029378,1289082.187,506,279213
Lilly Grade,4079,1,1734.492037,ID,T02000,IDT02000,ID04079,{0549AAAD-D41C-4F83-8A51-8877F6837D8E},22578.17644,7019270.072,560,279267
Salmon Tract-McCoy,4085,1,71.35293911,ID,T02000,IDT02000,ID04085,{22516756-DA6E-4B8C-A2D3-C73BE1DD44E2},2621.251391,288756.2468,566,279273
Salmon Tract-U2,4109,1,330.6502735,ID,T02000,IDT02000,ID04109,{F058912E-9777-47B6-AE91-97E35D706B86},5918.646613,1338099.498,581,279288
Ellis-Tews Isolated,4135,1,673.8789081,ID,T02000,IDT02000,ID04135,{DACA1C62-413C-40F7-AFBC-3C0546293EB3},19811.98477,2727102.019,604,279311
Quaking Aspen,11042,1,81424.23458,ID,I01000,IDI01000,ID11042,{652DCE54-3D2A-4A14-B272-6EE19C665DB8},134861.1137,329513495.4,1205,279912
Twin Buttes,13000,1,319444.2927,ID,I01000,IDI01000,ID13000,{CFC91D25-6238-4259-B6A3-88FC708C7915},463188.8869,1292750322,1209,279916
Loughmiller,4076,1,1774.666047,ID,T02000,IDT02000,ID04076,{683697D6-5C18-464B-8A09-C74C90C85620},18346.58048,7181847.215,1684,280391
Battle Creek,802,1,148235.8684,ID,B02000,IDB02000,ID00802,{3DF50590-4742-4C7E-8FDE-92AD27927436},270788.0663,599891658.7,1744,280451
East Castle Creek,893,1,108944.5565,ID,B02000,IDB02000,ID00893,{C9C379E8-54E7-43FC-A187-6159295BF96D},191542.3322,440884729.3,1745,280452
